kecamatan,count,kecamatan_norm,lat,lon
Tidak Diketahui,541,tidak diketahui,,
Baleendah,102,baleendah,-6.9996,107.6216
Margahayu,88,margahayu,-6.9717,107.5847
Cileunyi,78,cileunyi,-6.94,107.73
Soreang,68,soreang,-7.0252,107.5259
Bojongsoang,67,bojongsoang,-6.9892,107.6444
Majalaya,53,majalaya,-7.0349,107.7533
Margaasih,51,margaasih,-6.948,107.54
Banjaran,50,banjaran,-7.045,107.59
Rancaekek,48,rancaekek,-6.96,107.77
Cicalengka,44,cicalengka,-6.9875,107.8401
Cangkuang,43,cangkuang,-7.07,107.55
Ciparay,37,ciparay,-7.035,107.65
Arjasari,28,arjasari,-7.08,107.63
Katapang,28,katapang,-7.0,107.56
Cimenyan,25,cimenyan,-6.8787,107.6646
Ciwidey,23,ciwidey,-7.099,107.4337
Cilengkrang,20,cilengkrang,-6.905,107.6941
Paseh,16,paseh,-7.0313,107.7905
Pameungpeuk,16,pameungpeuk,,
Pangalengan,12,pangalengan,,
Cikancung,12,cikancung,,
Dayeuhkolot,12,dayeuhkolot,,
Ibun,11,ibun,,
Kutawaringin,10,kutawaringin,-6.9992,107.5066
Solokan Jeruk,9,solokan jeruk,-7.01,107.73
Cimaung,8,cimaung,,
Pasirjambu,4,pasirjambu,,
Nagreg,4,nagreg,,
Pacet,4,pacet,,
Kertasari,2,kertasari,,
Rancabali,2,rancabali,,
